14289626,l
5050868,l
12957052,d
9571976,l
12318436,d
8298088,d
11484805,l
14053813,d
16771081,d
3921150,d
4716673,d
13170090,d
14196761,l
5085768,l
7500070,l
5116194,l
2796312,d
10092530,d
12321822,l
12422552,l
4825094,l
8979967,l
176144,d
9694277,d
16749073,d
7759664,l
6626041,l
13296597,d
12535902,l
2883004,d
11233938,d
2295055,l
6975763,l
7207700,d
2229066,l
8733541,l
9206625,l
1637915,d
14242154,d
3800759,d
5957590,d
2157303,d
12141782,l
7627239,l
9841252,l
7851000,d
900930,d
6345610,d
4705409,d
3857520,d
10274212,d
990208,l
6404090,d
15515050,d
7042364,l
4323529,d
6168510,l
12050705,d
15506411,d
4372961,d
8732990,l
7842899,l
3394386,d
4723927,l
7032802,l
15870802,l
14113573,l
10778580,l
8982820,l
12879161,l
6048164,l
14102463,l
7265615,d
10005744,d
15814044,l
3125080,d
14576493,d
16347685,d
2014614,d
1896145,d
1572488,d
721979,l
13274537,l
1259928,l
15955435,l
10351819,d
4279705,l
9888906,d
14523900,d
14438252,l
13193079,d
9287673,d
9098319,l
1624553,d
11647589,d
1433893,d
12934084,d
7506523,l
5696258,d
12656461,l
13999101,d
3240654,l
7427346,l
13958992,d
13751356,d
15887920,d
3857707,d
15539909,l
2630510,l
5383311,l
467036,l
13486749,d
12399141,l
7262708,d
5082533,l
7686690,l
3477782,l
9022271,l
9855462,l
14745960,l
12521661,l
6190355,l
883940,l
2483955,d
4881310,l
10633647,l
12927837,l
15688079,l
9341119,l
4451821,d
7823243,l
9310944,l
14998411,d
6627342,l
7634443,l
13703667,l
12585326,l
8157472,l
14287953,l
8887920,l
13461768,l
4895299,l
1987566,l
6110955,l
13347760,d
4735891,l
15246552,d
2125681,l
2465342,l
16163172,d
8917484,l
3812689,l
14235496,l
10059405,l
9308106,l
9078261,l
270683,l
9802755,l
5683587,l
11181033,l
6949775,l
986517,l
14117326,l
9311009,l
995040,l
8520905,l
6088349,d
11906219,l
13714025,l
894825,l
7734839,l
15118269,d
5859800,l
1893332,d
15059755,d
4011897,l
14000140,d
7732492,d
5630152,d
3895612,l
4101825,l
12043121,d
4266854,l
14882677,l
2473973,l
9447960,l
5652713,l
2658393,l
12109209,d
10019996,d
12304084,d
2397634,l
15522179,d
9423104,d
10787694,d
7993937,d
9625583,d
13250676,l
4243986,l
1736473,l
15994817,l
14960991,l
3724597,d
7482677,l
12525399,l
886884,l
16339335,d
16775355,d
5013161,l
643608,d
5984165,l
4315573,d
1389594,l
595936,l
12902901,d
15958222,d
14594261,d
1773413,l
3221924,l
13410489,d
6655749,l
1360102,d
11196600,d
6540574,d
5797021,l
9956358,d
1685564,l
4235449,l
6838134,l
1294252,d
6198208,l
5925404,l
14414445,d
11494710,l
11468155,d
15175268,d
